"FRAME_NO, MEAN, STD_DEV"
297,12.2,4.534313619501853
298,12.2,4.534313619501853
299,12.2,4.534313619501853
300,12.2,4.534313619501853
301,12.2,4.534313619501853
302,12.2,4.534313619501853
303,12.2,4.534313619501853
304,12.2,4.534313619501853
305,12.2,4.534313619501853
306,12.2,4.534313619501853
307,12.2,4.534313619501853
308,12.2,4.534313619501853
309,12.2,4.534313619501853
310,12.2,4.534313619501853
311,12.2,4.534313619501853
312,12.2,4.534313619501853
313,12.2,4.534313619501853
314,12.2,4.534313619501853
315,12.2,4.534313619501853
316,12.2,4.534313619501853
317,12.1,4.060788100849391
318,12.1,4.060788100849391
319,12.1,4.060788100849391
320,12.1,4.060788100849391
321,12.1,4.060788100849391
322,12.1,4.060788100849391
323,12.1,4.060788100849391
324,12.1,4.060788100849391
325,12.1,4.060788100849391
326,12.1,4.060788100849391
327,12.1,4.060788100849391
328,12.1,4.060788100849391
329,12.1,4.060788100849391
330,12.1,4.060788100849391
331,12.1,4.060788100849391
332,12.1,4.060788100849391
333,12.1,4.060788100849391
334,12.1,4.060788100849391
335,12.1,4.060788100849391
336,12.1,4.060788100849391
337,12.4,3.97994974842648
338,12.4,3.97994974842648
339,12.4,3.97994974842648
340,12.4,3.97994974842648
341,12.4,3.97994974842648
342,12.4,3.97994974842648
343,12.4,3.97994974842648
344,12.4,3.97994974842648
345,12.4,3.97994974842648
346,12.4,3.97994974842648
347,12.4,3.97994974842648
348,12.4,3.97994974842648
349,12.4,3.97994974842648
350,12.4,3.97994974842648
351,12.4,3.97994974842648
352,12.4,3.97994974842648
353,12.4,3.97994974842648
354,12.4,3.97994974842648
355,12.4,3.97994974842648
356,12.4,3.97994974842648
357,13.2,5.1536394906900505
358,13.2,5.1536394906900505
359,13.2,5.1536394906900505
360,13.2,5.1536394906900505
361,13.2,5.1536394906900505
362,13.2,5.1536394906900505
363,13.2,5.1536394906900505
364,13.2,5.1536394906900505
365,13.2,5.1536394906900505
366,13.2,5.1536394906900505
367,13.2,5.1536394906900505
368,13.2,5.1536394906900505
369,13.2,5.1536394906900505
